evidence_item,status,allowed_wording,boundary,evidence
real_afc_station_hour_demand,supported,real AFC-style station-hour entry demand,real OD or onboard-load ground truth,rows=1000 stations=41 time_bins=25
real_apc_route_boarding_demand,supported,real APC-style route boarding demand,"real onboard occupancy, alighting, or OD ground truth unless columns exist",rows=1000 routes=8 route_time_bins=1000
native_service_response_wait_alighting_throughput,supported,native public-demand service-response loop improves wait/alighting/throughput,external agency alighting or onboard-load ground-truth improvement,rows=96 seeds=48 board_wait=supported alighted=supported throughput=supported
native_onboard_load_loop,supported,native onboard-load metric is recorded and audited,native onboard-load improvement is supported if CI is inconclusive,onboard_improvement=inconclusive
real_gtfs_ride_board_alight,external_missing,real stop-level board/alight validation when GTFS-ride board_alight is supplied,real alighting ground truth for the current AFC/APC-only cache,board_alight_rows=0 has_alightings=False source_kind=unknown source_verified=False
real_gtfs_ride_onboard_load,external_missing,real onboard-load validation when GTFS-ride load_count/current_load is supplied,real onboard-load ground truth for the current AFC/APC-only cache,board_alight_rows=0 has_onboard_load=False source_kind=unknown source_verified=False
real_gtfs_ride_od,external_missing,real OD validation when rider_trip or origin/destination fields are supplied,real OD ground truth for the current AFC/APC-only cache,rider_trip_rows=0 has_od_fields=False source_kind=unknown source_verified=False
real_public_bus_stop_board_alight,supported,real public bus stop/trip boardings and alightings from MBTA,GTFS-ride-native board_alight feed unless supplied separately,rows=1202491 routes=152 stops=6775 total_boardings=987905.5 total_alightings=985893.8
real_public_bus_stop_onboard_load,supported,real public bus stop/trip onboard load averages from MBTA,onboard-load improvement under Freq-HRL unless linked to a control validation,rows=1202491 mean_load=10.0635 max_load=69.4980
real_public_subway_od_estimate,supported,real public agency subway OD estimates from MTA,observed individual OD truth or bus OD/onboard load,sample_rows=5000 full_table_rows=116279069 origins=422 destinations=422 od_pairs=4860
mbta_bus_stop_trip_ridership,supported,public_agency_observed_bus_apc,"observed MBTA stop/trip bus averages with boardings, alightings, and onboard load; not OD",rows=1202491 routes=152 stops=6775 origins= destinations=
mta_subway_od_estimate_2024,supported,public_agency_estimated_subway_od,agency-published subway OD estimate from fare data; not observed bus OD or onboard load,rows=5000 routes= stops= origins=422 destinations=422
